School_Name,School_Year,Reported,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_incomplete_for_diphtheria_tetanus,Number_incomplete_for_pertussis,Number_incomplete_for_measles_mumps_rubella,Number_incomplete_for_polio,Number_incomplete_for_HepatitisB,Number_incomplete_for_varicella,School_Type,School_District,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade,Location 1
LINCOLN ACADEMY,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,STANWOOD-CAMANO SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,6-8,0,1,"7600 272ND ST NW
STANWOOD
(48.24308, -122.336896)"
MADISON ELEMENTARY,2016-17,Y,61,91.8%,0%,4.9%,3.3%,0%,3.3%,0%,0%,95.1%,96.7%,96.7%,96.7%,96.7%,93.4%,56,0,3,2,0,2,0,0,3,2,2,2,2,4,PUBLIC SCHOOL,EVERETT SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,1,0,"616 PECKS DR
EVERETT
(47.941858, -122.223965)"
MT BAKER MIDDLE SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,AUBURN SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,0,1,"620 37TH ST SE
AUBURN
(47.275661, -122.220369)"
LEWIS AND CLARK HIGH SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,VANCOUVER SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,9-12,0,0,"2901 GENERAL ANDERSON AVE
VANCOUVER
(45.641903, -122.621506)"
LAKE WASHINGTON HIGH,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,LAKE WASHINGTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,0,0,"12033 NE 80TH
KIRKLAND
(47.675381, -122.180067)"
MOUNT BAKER MIDDLE SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,MOUNT VERNON SCHOOL DISTRICT,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,7-8,0,0,"2310 E SECTION ST
MOUNT VERNON
(48.413629, -122.311607)"
KARSHNER ELEMENTARY,2016-17,Y,43,93%,2.3%,2.3%,2.3%,0%,2.3%,0%,0%,95.3%,100%,97.7%,97.7%,95.3%,95.3%,40,1,1,1,0,1,0,0,2,0,1,1,2,2,PUBLIC SCHOOL,PUYALLUP SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-6,1,1,"1328 8TH AVE NW
PUYALLUP
(47.1981, -122.312308)"
MCKNIGHT MIDDLE SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,RENTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,0,1,"1200 EDMONDS AVE NE
RENTON
(47.503659, -122.185605)"
PERKINS SCHOOL,2016-17,Y,18,100%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,100%,100%,100%,18,0,0,0,0,0,0,0,0,0,0,0,0,0,PRIVATE SCHOOL,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-5,1,0,"9005 ROOSEVELT WAY NE
SEATTLE
(47.694267, -122.317598)"
MILLER JUNIOR HIGH,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,ABERDEEN SCHOOL DISTRICT,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,7-8,0,0,"100 E LINDSTROM
ABERDEEN
(46.963052, -123.792519)"
PANORAMA SCHOOL,2016-17,Y,1,0%,0%,0%,100%,0%,100%,0%,0%,100%,100%,100%,100%,100%,0%,0,0,0,1,0,1,0,0,0,0,0,0,0,1,PUBLIC SCHOOL,COLVILLE SCHOOL DISTRICT,STEVENS,EDUCATIONAL SERVICE DISTRICT 101,PK-12,1,1,"225 SOUTH HOFSTETTER
COLVILLE
(48.543125, -117.897236)"
LAKE STEVENS MIDDLE SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,LAKE STEVENS SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,6-7,0,1,"1031 91 AVE SE
LAKE STEVENS
(47.986563, -122.108814)"
MEADOWGLADE SDA SCHOOL,2016-17,Y,18,88.9%,0%,0%,11.1%,0%,11.1%,0%,0%,88.9%,88.9%,88.9%,88.9%,88.9%,88.9%,16,0,0,2,0,2,0,0,2,2,2,2,2,2,PRIVATE SCHOOL,BATTLE GROUND SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K-8,1,1,"18717 NE 109TH AVE
BATTLE GROUND
(45.757814, -122.560483)"
RAYMOND JR SR HIGH SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,RAYMOND SCHOOL DISTRICT,PACIFIC,EDUCATIONAL SERVICE DISTRICT 113,7-12,0,0,"1016 COMMERCIAL ST
RAYMOND
(46.685647, -123.724017)"
MONARCH ACADEMY,2016-17,Y,11,100%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,100%,100%,100%,11,0,0,0,0,0,0,0,0,0,0,0,0,0,PRIVATE SCHOOL,CLARKSTON SCHOOL DISTRICT,ASOTIN,EDUCATIONAL SERVICE DISTRICT 123,K-6,1,1,"1465 POPLAR STREET
CLARKSTON
(46.418104, -117.06227)"
MONTICELLO MIDDLE SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,LONGVIEW SCHOOL DISTRICT,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,6-8,0,1,"1225 28TH AVENUE
LONGVIEW
(46.13873, -122.957684)"
MARSHALL ELEMENTARY,2016-17,Y,61,86.9%,3.3%,8.2%,1.6%,0%,1.6%,0%,0%,93.4%,93.4%,93.4%,95.1%,93.4%,93.4%,53,2,5,1,0,1,0,0,4,4,4,3,4,4,PUBLIC SCHOOL,MARYSVILLE SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,1,0,"4407 116TH ST NE
MARYSVILLE
(48.099882, -122.172274)"
SEATTLE HILL ELEMENTARY,2016-17,Y,95,94.7%,0%,1.1%,4.2%,0%,4.2%,0%,0%,94.7%,94.7%,94.7%,94.7%,94.7%,94.7%,90,0,1,4,0,4,0,0,5,5,5,5,5,5,PUBLIC SCHOOL,SNOHOMISH SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,1,1,"12711 51ST AVE SE
EVERETT
(47.881865, -122.163739)"
MEADOWS ELEMENTARY,2016-17,Y,107,15%,0%,85%,0%,0%,0%,0%,0%,18.7%,18.7%,18.7%,16.8%,28%,16.8%,16,0,91,0,0,0,0,0,87,87,87,89,77,89,PUBLIC SCHOOL,NORTH THURSTON PUBLIC SCHOOLS,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,K -6,1,1,"836 DEERBRUSH DR SE
LACEY
(47.048259, -122.741125)"
OLYMPIA REGIONAL LEARNING ACADEMY,2016-17,Y,23,17.4%,4.3%,73.9%,4.3%,4.3%,0%,0%,0%,30.4%,30.4%,34.8%,30.4%,43.5%,30.4%,4,1,17,1,1,0,0,0,16,16,15,16,13,16,PUBLIC SCHOOL,OLYMPIA SCHOOL DISTRICT,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,K -12,1,1,"2001 26TH AVENUE NE
OLYMPIA
(47.068836, -122.873731)"
KINGSTON HIGH SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,NORTH KITSAP SCHOOL DISTRICT,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,9-12,0,0,"26201 SIYAYA AVENUE NE
KINGSTON
(47.798086, -122.518366)"
LYNDEN MIDDLE SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,LYNDEN SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,6-8,0,1,"516 MAIN ST
LYNDEN
(48.946376, -122.455557)"
SALMON BAY K-8 SCHOOL,2016-17,Y,45,73.3%,0%,22.2%,4.4%,0%,4.4%,0%,0%,91.1%,91.1%,88.9%,84.4%,84.4%,80%,33,0,10,2,0,2,0,0,4,4,5,7,7,9,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -8,1,1,"1810 NW 65 ST
SEATTLE
(47.675986, -122.380505)"
LA VENTURE MIDDLE SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,MOUNT VERNON SCHOOL DISTRICT,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,7-8,0,0,"1200 LAVENTURE RD
MOUNT VERNON
(48.431578, -122.313398)"
RAINIER VIEW ELEMENTARY SCHOOL,2016-17,Y,41,90.2%,0%,7.3%,2.4%,0%,2.4%,0%,0%,95.1%,95.1%,92.7%,95.1%,97.6%,90.2%,37,0,3,1,0,1,0,0,2,2,3,2,1,4,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-5,1,0,"11650 BEACON AVE S
SEATTLE
(47.498608, -122.264228)"
ORCA K-8 SCHOOL,2016-17,Y,44,81.8%,2.3%,11.4%,4.5%,2.3%,2.3%,0%,0%,86.4%,86.4%,88.6%,86.4%,86.4%,86.4%,36,1,5,2,1,1,0,0,6,6,5,6,6,6,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -8,1,1,"5215 46 AVE S
SEATTLE
(47.55472, -122.275391)"
LOWELL ELEMENTARY SCHOOL,2016-17,Y,63,95.2%,1.6%,3.2%,0%,0%,0%,0%,0%,96.8%,100%,96.8%,96.8%,98.4%,96.8%,60,1,2,0,0,0,0,0,2,0,2,2,1,2,PUBLIC SCHOOL,TACOMA SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,1,0,"810 N 13TH ST
TACOMA
(47.267851, -122.466548)"
LIBBY CENTER,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,SPOKANE SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,5-8,0,1,"2900 E 1ST AVE
SPOKANE
(47.656296, -117.368843)"
ROGERS HIGH SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,SPOKANE SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,9-12,0,0,"1622 E WELLESLEY AVE
SPOKANE
(47.700562, -117.386416)"
MASON COUNTY CHRISTIAN SCHOOL,2016-17,Y,8,25%,12.5%,62.5%,0%,0%,0%,0%,0%,37.5%,50%,37.5%,37.5%,50%,37.5%,2,1,5,0,0,0,0,0,5,4,5,5,4,5,PRIVATE SCHOOL,SHELTON SCHOOL DISTRICT,MASON,EDUCATIONAL SERVICE DISTRICT 113,P-8,1,1,"470 E EAGLE RIDGE DR
SHELTON
(47.238115, -123.093334)"
REEVES MIDDLE SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,OLYMPIA SCHOOL DISTRICT,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,6-8,0,1,"2200 QUINCE ST NE
OLYMPIA
(47.063919, -122.891518)"
MANN ELEMENTARY SCHOOL,2016-17,Y,71,85.9%,2.8%,11.3%,0%,0%,0%,0%,0%,88.7%,100%,90.1%,91.5%,100%,90.1%,61,2,8,0,0,0,0,0,8,0,7,6,0,7,PUBLIC SCHOOL,TACOMA SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,1,0,"1002 S 52ND ST
TACOMA
(47.210036, -122.447836)"
LOWELL ELEMENTARY SCHOOL,2016-17,Y,58,77.6%,0%,19%,3.4%,0%,3.4%,0%,0%,89.7%,89.7%,89.7%,86.2%,89.7%,84.5%,45,0,11,2,0,2,0,0,6,6,6,8,6,9,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,1,0,"1058 E MERCER ST
SEATTLE
(47.62427, -122.318305)"
OLYMPIC VIEW ELEM,2016-17,Y,97,94.8%,0%,0%,5.2%,2.1%,3.1%,0%,0%,95.9%,95.9%,95.9%,95.9%,94.8%,95.9%,92,0,0,5,2,3,0,0,4,4,4,4,5,4,PUBLIC SCHOOL,OAK HARBOR SCHOOL DISTRICT,ISLAND,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -5,1,0,"380 NE REGATTA DR.
OAK HARBOR
(48.301939, -122.633962)"
MIRROR LAKE ELEMENTARY SCHOOL,2016-17,Y,70,84.3%,4.3%,5.7%,5.7%,0%,5.7%,0%,0%,90%,90%,88.6%,100%,97.1%,85.7%,59,3,4,4,0,4,0,0,7,7,8,0,2,10,PUBLIC SCHOOL,FEDERAL WAY SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,1,0,"625 S 314TH ST
FEDERAL WAY
(47.320625, -122.325279)"
JASON LEE ELEMENTARY SCHOOL,2016-17,Y,83,91.6%,1.2%,0%,7.2%,1.2%,6%,0%,0%,91.6%,91.6%,91.6%,91.6%,91.6%,91.6%,76,1,0,6,1,5,0,0,7,7,7,7,7,7,PUBLIC SCHOOL,RICHLAND SCHOOL DISTRICT,BENTON,EDUCATIONAL SERVICE DISTRICT 123,PK-5,1,0,"1702 VAN GIESEN
RICHLAND
(46.29308, -119.294304)"
NORTH COUNTRY CHRISTIAN SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRIVATE SCHOOL,OROVILLE SCHOOL DISTRICT,OKANOGAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,P-12,1,1,"737 MARY ANN CREEK RD
OROVILLE
(48.937937, -119.095037)"
NORTHSHORE NETWORKS,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,NORTHSHORE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -12,1,1,"3330 MONTE VILLA PARKWAY
BOTHELL
(47.778054, -122.18971)"
ORCHARD PRAIRIE ELEMENTARY,2016-17,Y,10,80%,0%,0%,20%,0%,20%,0%,0%,90%,90%,90%,90%,80%,90%,8,0,0,2,0,2,0,0,1,1,1,1,2,1,PUBLIC SCHOOL,ORCHARD PRAIRIE SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,K -7,1,1,"7626 N. ORCHARD PRAIRIE RD.
SPOKANE
(47.728603, -117.314831)"
MARYSVILLE MIDDLE SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,MARYSVILLE SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,6-8,0,1,"4923 67TH ST NE
MARYSVILLE
(48.056685, -122.165182)"
OLYMPIC CHRISTIAN SCHOOL,2016-17,Y,10,100%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,100%,100%,100%,10,0,0,0,0,0,0,0,0,0,0,0,0,0,PRIVATE SCHOOL,PORT ANGELES SCHOOL DISTRICT,CLALLAM,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,P-8,1,1,"43 O'BRIEN RD
PORT ANGELES
(48.09521, -123.302422)"
NORTH TAPPS MIDDLE SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,DIERINGER SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,0,1,"20029 12TH STREET E.
LAKE TAPPS
(47.246694, -122.162829)"
NORTH MIDDLE SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,EVERETT SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,6-8,0,1,"2514 RAINIER AVE.
EVERETT
(47.984463, -122.198599)"
SECONDARY LEARNING CENTER,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,RENTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-12,0,1,"7800 S 132ND ST
SEATTLE
(47.484706, -122.235965)"
MCFARLAND MIDDLE SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,OTHELLO SCHOOL DISTRICT,ADAMS,EDUCATIONAL SERVICE DISTRICT 123,6-8,0,1,"790 S 10TH AVE
OTHELLO
(46.818079, -119.160486)"
NOOKSACK VALLEY MIDDLE SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,NOOKSACK VALLEY SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,6-8,0,1,"404 W. COLUMBIA ST.
EVERSON
(48.920185, -122.327439)"
KINGSTON MIDDLE SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,NORTH KITSAP SCHOOL DISTRICT,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,6-8,0,1,"9000 W KINGSTON RD
KINGSTON
(47.794915, -122.526049)"
PACIFIC CREST SCHOOLS,2016-17,Y,35,100%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,100%,100%,100%,35,0,0,0,0,0,0,0,0,0,0,0,0,0,PRIVATE SCHOOL,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,1,1,"600 NW BRIGHT ST
SEATTLE
(47.660033, -122.363985)"
SAND POINT ELEMENTARY,2016-17,Y,42,95.2%,0%,2.4%,2.4%,0%,2.4%,0%,0%,97.6%,97.6%,95.2%,95.2%,95.2%,95.2%,40,0,1,1,0,1,0,0,1,1,2,2,2,2,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,1,0,"6208 60 AVE NE
SEATTLE
(47.673935, -122.263527)"
PUGET SOUND ADVENTIST ACADEMY,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRIVATE SCHOOL,LAKE WASHINGTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,0,0,"5320 108TH AVE NE
KIRKLAND
(47.656604, -122.196232)"
KIONA-BENTON CITY MIDDLE SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,KIONA-BENTON CITY SCHOOL DISTRICT,BENTON,EDUCATIONAL SERVICE DISTRICT 123,6-8,0,1,"1107 GRACE AVENUE
BENTON CITY
(46.270937, -119.491084)"
MAPLE ELEMENTARY SCHOOL,2016-17,Y,92,93.5%,0%,4.3%,2.2%,1.1%,1.1%,0%,0%,95.7%,95.7%,96.7%,94.6%,98.9%,95.7%,86,0,4,2,1,1,0,0,4,4,3,5,1,4,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,1,0,"4925 CORSON AV S
SEATTLE
(47.55729, -122.318335)"
KENTLAKE HIGH SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,KENT SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,0,0,"21401 SE 300TH ST
KENT
(47.3331, -122.057531)"
MONTESSORI AT SAMISH WOODS,2016-17,Y,12,75%,0%,0%,25%,0%,25%,0%,0%,100%,100%,91.7%,75%,75%,75%,9,0,0,3,0,3,0,0,0,0,1,3,3,3,PRIVATE SCHOOL,BELLINGHAM SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-6,1,1,"1027 SAMISH WAY
BELLINGHAM
(48.722052, -122.470713)"
RENTON PARK ELEMENTARY SCHOOL,2016-17,Y,82,90.2%,2.4%,1.2%,6.1%,0%,4.9%,1.2%,0%,91.5%,91.5%,92.7%,90.2%,91.5%,92.7%,74,2,1,5,0,4,1,0,7,7,6,8,7,6,PUBLIC SCHOOL,RENTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,1,0,"16828 128TH AVE SE
RENTON
(47.451468, -122.169906)"
LIFE CHRISTIAN ACADEMY,2016-17,Y,36,72.2%,2.8%,8.3%,16.7%,2.8%,13.9%,0%,0%,88.9%,88.9%,88.9%,80.6%,80.6%,88.9%,26,1,3,6,1,5,0,0,4,4,4,7,7,4,PRIVATE SCHOOL,TACOMA SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-12,1,1,"1717 S UNION AVE
TACOMA
(47.244637, -122.483028)"
PACIFIC CREST ACADEMY,2016-17,Y,11,100%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,100%,100%,100%,11,0,0,0,0,0,0,0,0,0,0,0,0,0,PRIVATE SCHOOL,CAMAS SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,P-8,1,1,"324 NE OAK STREET
CAMAS
(45.59041, -122.393264)"
LITTLE CEDARS ELEMENTARY SCHOOL,2016-17,Y,90,51.1%,1.1%,42.2%,5.6%,0%,3.3%,1.1%,1.1%,77.8%,77.8%,75.6%,67.8%,85.6%,62.2%,46,1,38,5,0,3,1,1,20,20,22,29,13,34,PUBLIC SCHOOL,SNOHOMISH SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,1,1,"1601 AVENUE D
SNOHOMISH
(47.932005, -122.100356)"
K-12 ELLENSBURG LEARNING CENTER,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,ELLENSBURG SCHOOL DISTRICT,KITTITAS,EDUCATIONAL SERVICE DISTRICT 105,PK-12,1,1,"210 N RUBY STREET
ELLENSBURG
(46.994074, -120.54447)"
RIVERVIEW ELEMENTARY SCHOOL,2016-17,Y,79,81%,2.5%,13.9%,2.5%,0%,2.5%,0%,0%,88.6%,88.6%,84.8%,89.9%,88.6%,87.3%,64,2,11,2,0,2,0,0,9,9,12,8,9,10,PUBLIC SCHOOL,EVERGREEN SCHOOL DISTRICT (CLARK),CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,1,0,"12601 SE RIVERRIDGE DRIVE
VANCOUVER
(45.607274, -122.541197)"
JOHN STANFORD INTERNATIONAL ELEMENTARY,2016-17,Y,64,87.5%,0%,10.9%,1.6%,0%,1.6%,0%,0%,93.8%,93.8%,93.8%,90.6%,95.3%,90.6%,56,0,7,1,0,1,0,0,4,4,4,6,3,6,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,1,0,"4057 5 AV NE
SEATTLE
(47.656885, -122.323477)"
KINGSPOINT CHRISTIAN SCHOOL,2016-17,Y,29,69%,0%,24.1%,6.9%,0%,6.9%,0%,0%,75.9%,75.9%,72.4%,79.3%,79.3%,75.9%,20,0,7,2,0,2,0,0,7,7,8,6,6,7,PRIVATE SCHOOL,PASCO SCHOOL DISTRICT,FRANKLIN,EDUCATIONAL SERVICE DISTRICT 123,K-12,1,1,"7900 W COURT ST
PASCO
(46.24192, -119.195373)"
